ACKR3,EGFR
ACKR3,GRIN2B
ACKR3,KEAP1
ACKR3,MUC4
ACKR3,PRG4
ACKR3,SETD2
ACKR3,TRHDE
ACKR3,TRPA1
ACLY,KEAP1
ACLY,RYR3
ACO1,EGFR
ACO1,HYDIN
ACO1,NEB
ACO1,PRDM9
ACO1,TTN
ACO2,NF1
ACO2,STK11
ACOT11,AHNAK2
ACOT11,AKAP9
ACOT11,C6
ACOT11,CACNA1E
ACOT11,CNTNAP2
ACOT11,EGFR
ACOT11,ELTD1
ACOT11,HGF
ACOT11,KIAA1109
ACOT11,MYH1
ACOT11,MYH3
ACOT11,NES
ACOT11,PDE4DIP
ACOT11,THBS2
ACOT7,PTPRT
ACOX1,CNTN5
ACOX1,MYT1L
ACOX1,SPEG
ACOX1,TRPS1
ACOX1,VCAN
ACOX1,WDFY3
ACOX3,EGFR
ACOX3,F8
ACOX3,KEAP1
ACOXL,EGFR
ACOXL,LRRTM4
ACOXL,NELL1
ACOXL,TSHZ3
ACP2,TTN
ACSBG1,EGFR
ACSBG1,KEAP1
ACSBG2,CTNNA2
ACSBG2,KRAS
ACSBG2,RYR2
ACSBG2,STK11
ACSBG2,TTN
ACSF2,EGFR
ACSF2,KEAP1
ACSF2,LRP1B
ACSL1,CPS1
ACSL3,AHNAK2
ACSL3,MGAM
ACSL6,BNC2
ACSM1,EGFR
ACSM1,FRMPD4
ACSM3,FLG
ACSM5,EGFR
ACSM5,ITPR3
ACSM5,KCND2
ACSM5,KIF1B
ACSM5,KIR2DL3
ACSM5,KNDC1
ACSM5,LAX1
ACSM5,MTTP
ACSM5,QRFPR
ACSM5,RBM10
ACSM5,SLC12A1
ACSM5,SNAP25
ACSM5,STIL
ACSS3,ARSF
ACSS3,CCDC88A
ACSS3,CTNNB1
ACSS3,DUSP22
ACSS3,EGFR
ACSS3,FRMPD4
ACSS3,KRAS
ACSS3,MDN1
ACSS3,NUP98
ACSS3,PCF11
ACSS3,PDE6B
ACSS3,PLXNA3
ACSS3,RBM10
ACSS3,RIMBP2
ACSS3,SON
ACSS3,STAB1
ACSS3,TBX3
ACSS3,THADA
ACSS3,TTI1
ACSS3,TULP4
ACSS3,WDFY3
ACTB,ASH1L
ACTB,CHRM2
ACTB,DPP6
ACTB,DSCAM
ACTB,EGFR
ACTB,EPHA3
ACTB,FBXL7
ACTB,KCNH1
ACTB,KEL
ACTB,KIF1A
ACTB,STK11
ACTC1,CHD9
ACTC1,CNTN5
ACTC1,DNAH9
ACTC1,EGFR
ACTC1,PCDHB6
ACTC1,PLXNB2
ACTC1,RBM10
ACTC1,SMG1
ACTC1,SPTBN5
ACTC1,STK11
ACTC1,SVIL
ACTC1,TMPRSS15
ACTC1,TP53
ACTC1,TRIO
ACTC1,TRRAP
ACTC1,ZFHX3
ACTG2,AHNAK
ACTG2,EGFR
ACTG2,FRAS1
ACTG2,RBM10
ACTG2,RYR1
ACTG2,TRIOBP
ACTL6A,CPS1
ACTL7A,EGFR
ACTL7A,TRPS1
