gene1,gene2,weight
AQP3,ZNF562,5.870917456684607
AQP5,MAD2L1BP,5.709114223470642
ARCN1,ZMIZ2,3.5501354858247227
ARFGEF1,PRKDC,5.522410271758956
ARHGAP15,TP53RK,4.336276029295206
ARHGAP19,ZMIZ2,4.853040421202165
ARHGAP24,ZMIZ2,5.460698330020671
ARHGAP28,UBQLN2,4.798622676095516
ARHGAP45,IL18RAP,4.702594311789893
ARHGEF12,CHRM1,5.8440957487347465
ARHGEF12,IL2,3.561651450564584
ARHGEF12,PAK2,5.666410760555424
ARHGEF12,ZNF138,3.926950570051106
ARHGEF2,AR,3.705017182630388
ARHGEF2,IP6K1,3.775174335078199
ARHGEF2,SAP18,4.361338565913525
ARHGEF2,TIMP1,3.3181982002810035
ARID3A,NCOR2,5.545816806034717
ARL4D,GPR84,3.2881716358894577
ARSB,NCOR2,4.297411767031659
ARSF,TMED10,4.249444410431903
ASB7,ZMIZ2,3.2800674640681104
ASIC1,ZMIZ2,3.064204132276765
ASPA,ZMIZ2,5.70831994044359
ATAD2B,ZMIZ2,4.0789514778135265
ATG101,TRIM13,3.922281903627759
ATG13,PSMD1,4.535606512546448
ATG3,CNOT7,3.101854801697744
ATG3,FECH,3.1021795914942936
ATG3,GCAT,3.9712964861090256
ATG3,NXF1,3.678119338257668
ATG3,PAPOLA,5.446138962442102
ATG3,SAT1,5.649126002345632
ATG4A,PSMB2,4.563734398762934
ATG4A,PSMD1,3.6005961122866568
ATP10A,UBAP2L,3.8947331548122444
ATP12A,MAD2L1BP,4.386028129684834
ATP2B2,NCOR2,5.085813731829406
ATP2B3,NCOR2,4.237363772699041
ATP4B,ZMIZ2,4.730596738122093
ATP8A1,ALDH2,4.9900753582465684
ATP8A1,BIRC6,4.114224851254133
ATP8A1,EIF5A,3.564470067951496
ATP8A1,HIC2,3.388197314649564
ATP8A1,HSPG2,5.50988944054148
ATP8A1,IGFBP6,5.384440105839445
ATP8A1,KLF6,4.218757225319995
ATP8A1,MCM7,5.8597077121308185
ATP8A1,PSME1,3.048743400192625
ATP8A1,RBBP7,5.772726875727202
ATP8A1,RHOD,5.558578775461061
ATP8A1,ZNF607,4.582538941246439
ATP8B3,ZMIZ2,5.211928043725565
ATXN3,ZMIZ2,3.738669427765723
ATXN7L1,ZMIZ2,4.6309035507865
AURKC,TP53RK,3.427016058247829
AURKC,ZMIZ2,3.8725267035761366
AVIL,UBAP2L,5.666026217156733
AVIL,ZMIZ2,4.337226383456271
AXIN1,CBR3,3.5645222804158267
AXIN1,KITLG,5.423095975850877
