FSCN3,RPS27A
FSCN3,TADA2A
FSCN3,TFAP4
FSCN3,TMEM11
FSCN3,UBE2D3
FSCN3,USP7
FSCN3,YME1L1
FSCN3,ZNHIT3
GGTLC2,CBX7
GGTLC2,MTAP
GGTLC2,PARP10
GGTLC2,SPRY1
GGTLC2,STAP2
GGTLC2,TNFRSF14
GGTLC2,ZNF577
GGTLC2,ZNF785
GPSM3,ARF4
GPSM3,ATF4
GPSM3,ERBB2
GPSM3,MED28
GPSM3,MTX2
GPSM3,NFE2L2
GPSM3,RPS27A
GPSM3,TADA2A
GPSM3,TEX10
GPSM3,TMEM11
GPSM3,TOMM22
GPSM3,UBE2D3
GPSM3,USP7
GRAMD2B,ANKRD49
GRAMD2B,ARF4
GRAMD2B,ERBB2
GRAMD2B,EXOSC4
GRAMD2B,FOXA2
GRAMD2B,HSF1
GRAMD2B,ITGB5
GRAMD2B,MDM4
GRAMD2B,MED28
GRAMD2B,MTX2
GRAMD2B,NPEPPS
GRAMD2B,PIAS1
GRAMD2B,RPS27A
GRAMD2B,STIL
GRAMD2B,TOMM22
GRAMD2B,USP7
GRAMD2B,YME1L1
GRAMD2B,ZNHIT3
GRK4,ANKRD49
GRK4,ARF4
GRK4,DDX49
GRK4,ERBB2
GRK4,EXOSC8
GRK4,MDM4
GRK4,MED28
GRK4,MTX2
GRK4,NDUFB5
GRK4,NDUFC1
GRK4,PARL
GRK4,RPN2
GRK4,RPS27A
GRK4,TBL3
GRK4,TFAP4
GRK4,TMEM11
GRK4,TOMM22
GRK4,UQCRFS1
GRK4,USP7
GRK4,YME1L1
GRK4,ZNHIT3
GRWD1,CBX7
GRWD1,EGR1
GRWD1,FOXO4
GRWD1,IFIH1
GRWD1,JMJD7-PLA2G4B
GRWD1,MST1
GRWD1,MTAP
GRWD1,PPARA
GRWD1,PRDX2
GRWD1,SLC27A3
GRWD1,ZNF577
GRWD1,ZNF785
H2AC8,ARF4
H2AC8,ATF4
H2AC8,ITGB5
H2AC8,MDM4
H2AC8,MED28
H2AC8,NDUFC1
H2AC8,PPM1D
H2AC8,PSMA7
H2AC8,TADA2A
H2AC8,USP7
HAMP,EGR1
HAMP,JMJD7-PLA2G4B
HAMP,MST1
HAMP,MTAP
HAMP,PARP10
HAMP,SLC27A3
HAMP,ZNF554
HAMP,ZNF577
HAP1,CBX7
HAP1,JMJD7-PLA2G4B
HAP1,MST1
HAP1,MTAP
HAP1,PRDX2
HAP1,TNFRSF14
HAP1,ZNF554
HAP1,ZNF577
HAP1,ZNF785
HDAC9,ANKRD49
HDAC9,ARF4
HDAC9,COX6C
HDAC9,DDX49
HDAC9,EXOSC8
HDAC9,ITGB5
HDAC9,MDM4
HDAC9,MTX2
HDAC9,NFE2L2
HDAC9,PIAS1
HDAC9,PPM1D
HDAC9,RPS27A
HDAC9,STIL
HDAC9,TEX10
HDAC9,TMEM11
HDAC9,TOMM22
HDAC9,USP7
HDAC9,YME1L1
HDAC9,ZNHIT3
HECA,ARF4
HECA,DDX49
HECA,ERBB2
HECA,EXOSC4
HECA,EXOSC8
HECA,MDM4
HECA,MTX2
HECA,NFE2L2
HECA,PSMA7
HECA,TADA2A
HECA,TFAP4
HECA,USP7
HECA,YME1L1
HK2,ANKRD49
HK2,DDX49
HK2,FOXA2
HK2,MDM4
HK2,MTX2
HK2,PPM1D
HK2,TADA2A
HK2,YME1L1
