symbol,General_Term
AK9,Transferase
AK2,Transferase
AK4,Transferase
AK1,Transferase
AK3,Transferase
AK5,Transferase
AK8,Transferase
ME3,Transferase
ME1,Transferase
ME2,Transferase
METTL1,Transferase
POLR2L,Transferase
ATP5MF-PTCD1,Transferase
PTCD1,Transferase
MAPK14,Transferase
MAPK15,Transferase
CILK1,Transferase
SRPK3,Transferase
MAK,Transferase
NLK,Transferase
MAPK1,Transferase
MAPK3,Transferase
MAPK4,Transferase
MAPK6,Transferase
MAPK7,Transferase
MAPK8,Transferase
MAPK11,Transferase
MAPK9,Transferase
MAPK10,Transferase
MAPK13,Transferase
MOK,Transferase
MAPK12,Transferase
SRPK1,Transferase
SRPK2,Transferase
CDK2,Transferase
CDK3,Transferase
CDK4,Transferase
CDK5,Transferase
CDK6,Transferase
CDK7,Transferase
CDK8,Transferase
CDK9,Transferase
CDK19,Transferase
CDK20,Transferase
CDKL4,Transferase
CDKL3,Transferase
CDK16,Transferase
CDK17,Transferase
CDK18,Transferase
CDK12,Transferase
CDK14,Transferase
CDK15,Transferase
CDKL5,Transferase
CDK11A,Transferase
CDK10,Transferase
CDK13,Transferase
CDKL1,Transferase
PRPF4B,Transferase
CDKL2,Transferase
CDK1,Transferase
CDK11B,Transferase
GSK3A,Transferase
GSK3B,Transferase
HIPK3,Transferase
HIPK4,Transferase
DYRK1A,Transferase
HIPK1,Transferase
HIPK2,Transferase
DYRK3,Transferase
DYRK2,Transferase
DYRK4,Transferase
DYRK1B,Transferase
DAPK1,Transferase
DAPK3,Transferase
DAPK2,Transferase
STK17B,Transferase
STK17A,Transferase
SIK1B,Transferase
CHEK1,Transferase
SIK1,Transferase
NIM1K,Transferase
SIK2,Transferase
TSSK2,Transferase
TSSK4,Transferase
HUNK,Transferase
SNRK,Transferase
PRKAA1,Transferase
PRKAA2,Transferase
TSSK3,Transferase
NUAK2,Transferase
TSSK1B,Transferase
TSSK6,Transferase
BRSK1,Transferase
BRSK2,Transferase
MELK,Transferase
NUAK1,Transferase
MARK3,Transferase
MARK1,Transferase
MARK4,Transferase
SIK3,Transferase
PASK,Transferase
MARK2,Transferase
ULK2,Transferase
ULK1,Transferase
MKNK1,Transferase
MAPKAPK5,Transferase
MKNK2,Transferase
CAMK4,Transferase
MAPKAPK2,Transferase
MAPKAPK3,Transferase
AURKA,Transferase
AURKC,Transferase
AURKB,Transferase
GRK1,Transferase
GRK7,Transferase
GRK4,Transferase
GRK6,Transferase
GRK3,Transferase
GRK2,Transferase
GRK5,Transferase
MASTL,Transferase
C8orf44-SGK3,Transferase
SGK3,Transferase
MAST2,Transferase
LATS1,Transferase
MAST3,Transferase
STK32A,Transferase
LATS2,Transferase
MAST1,Transferase
STK32C,Transferase
STK32B,Transferase
PRKCB,Transferase
PRKCE,Transferase
STK38L,Transferase
PRKCG,Transferase
PDPK1,Transferase
PRKCZ,Transferase
AKT1,Transferase
AKT2,Transferase
PRKCQ,Transferase
AKT3,Transferase
PRKCH,Transferase
PRKCA,Transferase
SGK2,Transferase
PRKCI,Transferase
STK38,Transferase
MAST4,Transferase
PKN1,Transferase
SGK1,Transferase
PKN3,Transferase
PRKCD,Transferase
PKN2,Transferase
DMPK,Transferase
SBK1,Transferase
SBK3,Transferase
STKLD1,Transferase
PTK7,Transferase
FAM177A1,Transferase
FAM177B,Transferase
FAM133B,Transferase
FAM133A,Transferase
MTAP,Transferase
HMGCL,Transferase
HMGCLL1,Transferase
AADAT,Transferase
NUDT17,Transferase
NUDT12,Transferase
METTL7B,Transferase
METTL7A,Transferase
NAA50,Transferase
PPOX,Transferase
NANS,Transferase
BCKDHB,Transferase
NAT16,Transferase
KHK,Transferase
NTPCR,Transferase
ECH1,Transferase
ETFA,Transferase
PIGF,Transferase
HIBCH,Transferase
DBT,Transferase
MRM3,Transferase
TKT,Transferase
TKTL1,Transferase
TKTL2,Transferase
ABAT,Transferase
ASMTL,Transferase
NEK6,Transferase
NEK7,Transferase
MAP3K20,Transferase
PBK,Transferase
MVK,Transferase
HPRT1,Transferase
PRTFDC1,Transferase
FAAH2,Transferase
DPM1,Transferase
DLST,Transferase
FGGY,Transferase
IDNK,Transferase
COX10,Transferase
TMEM256,Transferase
COQ3,Transferase
ACADM,Transferase
MAOA,Transferase
MAOB,Transferase
COQ5,Transferase
ACADL,Transferase
ETFBKMT,Transferase
NEK10,Transferase
NEK8,Transferase
NEK2,Transferase
NEK11,Transferase
AS3MT,Transferase
UPP1,Transferase
UPP2,Transferase
HACL1,Transferase
NUDT1,Transferase
FASN,Transferase
ACCSL,Transferase
ACCS,Transferase
KYAT3,Transferase
KYAT1,Transferase
ACAD8,Transferase
COMT,Transferase
LRTOMT,Transferase
ACAA1,Transferase
IVD,Transferase
ACADVL,Transferase
ACAD9,Transferase
ACAD10,Transferase
ACAD11,Transferase
PCYT2,Transferase
TRMT2B,Transferase
NME5,Transferase
MTHFD2,Hydrolase
MTHFD2L,Hydrolase
ACYP1,Hydrolase
ACYP2,Hydrolase
ESD,Hydrolase
ZMPSTE24,Hydrolase
MEP1A,Hydrolase
MEP1B,Hydrolase
ASTL,Hydrolase
POLN,Hydrolase
POLQ,Hydrolase
ATP6V1C2,Hydrolase
ATP6V1C1,Hydrolase
ENPP5,Hydrolase
ENPP3,Hydrolase
ENPP2,Hydrolase
ENPP7,Hydrolase
ENPP6,Hydrolase
ENPP1,Hydrolase
ENPP4,Hydrolase
CNP,Hydrolase
PLPPR4,Hydrolase
PLPPR3,Hydrolase
PLPPR2,Hydrolase
PLPPR5,Hydrolase
PLPP2,Hydrolase
PLPP1,Hydrolase
PLPPR1,Hydrolase
PLPP3,Hydrolase
PLPP5,Hydrolase
PLPP4,Hydrolase
CAPN9,Hydrolase
CAPN11,Hydrolase
CAPN10,Hydrolase
CAPN12,Hydrolase
CAPN8,Hydrolase
CAPN14,Hydrolase
CAPN15,Hydrolase
CAPN5,Hydrolase
CAPN1,Hydrolase
CAPN2,Hydrolase
CAPN3,Hydrolase
CAPN6,Hydrolase
CAPN13,Hydrolase
AGA,Hydrolase
TASP1,Hydrolase
ASRGL1,Hydrolase
PSEN1,Hydrolase
PSEN2,Hydrolase
PPP2R5C,Hydrolase
PPP2R5D,Hydrolase
PPP2R5B,Hydrolase
PPP2R5A,Hydrolase
PPP2R5E,Hydrolase
ATP6V0C,Hydrolase
ATP6V0B,Hydrolase
PLA2G7,Hydrolase
PAFAH2,Hydrolase
PPA2,Hydrolase
PPA1,Hydrolase
IGF2BP1,Hydrolase
IGF2BP3,Hydrolase
IGF2BP2,Hydrolase
HNRNPK,Hydrolase
NOVA1,Hydrolase
NOVA2,Hydrolase
PCBP1,Hydrolase
PCBP2,Hydrolase
PCBP3,Hydrolase
PCBP4,Hydrolase
KHSRP,Hydrolase
FUBP1,Hydrolase
FUBP3,Hydrolase
CBSL,Hydrolase
CBS,Hydrolase
PLCD3,Hydrolase
PLCH1,Hydrolase
PLCL2,Hydrolase
PLCB1,Hydrolase
PLCE1,Hydrolase
PLCB2,Hydrolase
PLCB3,Hydrolase
PLCB4,Hydrolase
PLCD1,Hydrolase
PLCL1,Hydrolase
PLCG1,Hydrolase
PLCG2,Hydrolase
PLCD4,Hydrolase
PLCZ1,Hydrolase
PLCH2,Hydrolase
SMPDL3A,Hydrolase
SMPDL3B,Hydrolase
SMPD1,Hydrolase
SLC3A1,Hydrolase
BLMH,Hydrolase
DUSP11,Hydrolase
RNGTT,Hydrolase
NAALAD2,Hydrolase
NAALADL1,Hydrolase
FOLH1B,Hydrolase
FOLH1,Hydrolase
NAALADL2,Hydrolase
TFR2,Hydrolase
TFRC,Hydrolase
PSMD14,Hydrolase
COPS5,Hydrolase
BRCC3,Hydrolase
EIF3H,Hydrolase
MPG,Hydrolase
CASP12,Hydrolase
CASP14,Hydrolase
PYCARD,Hydrolase
CASP1,Hydrolase
CASP2,Hydrolase
CASP3,Hydrolase
CASP4,Hydrolase
CASP5,Hydrolase
CASP6,Hydrolase
CASP7,Hydrolase
CASP8,Hydrolase
CASP9,Hydrolase
CASP10,Hydrolase
CFLAR,Hydrolase
MFN2,Hydrolase
MFN1,Hydrolase
DTD2,Hydrolase
DTD1,Hydrolase
ACE,Hydrolase
ACE2,Hydrolase
GART,Hydrolase
COPS6,Hydrolase
PSMD7,Hydrolase
EIF3F,Hydrolase
AGL,Hydrolase
CLCA1,Hydrolase
CLCA4,Hydrolase
CLCA2,Hydrolase
UCHL5,Hydrolase
UCHL1,Hydrolase
UCHL3,Hydrolase
BAP1,Hydrolase
PFKFB1,Hydrolase
PFKFB2,Hydrolase
PFKFB3,Hydrolase
PFKFB4,Hydrolase
VNN3,Hydrolase
BTD,Hydrolase
VNN2,Hydrolase
VNN1,Hydrolase
HDAC1,Hydrolase
HDAC2,Hydrolase
HDAC8,Hydrolase
HDAC3,Hydrolase
NEU3,Hydrolase
NEU4,Hydrolase
NEU1,Hydrolase
NEU2,Hydrolase
PPP2R1A,Hydrolase
PPP2R1B,Hydrolase
PPP4R1,Hydrolase
DNAH14,Hydrolase
DNHD1,Hydrolase
DNAH2,Hydrolase
DNAH5,Hydrolase
DNAH6,Hydrolase
DNAH8,Hydrolase
DNAH9,Hydrolase
DYNC1H1,Hydrolase
DNAH10,Hydrolase
DNAH1,Hydrolase
DNAH3,Hydrolase
DNAH7,Hydrolase
DYNC2H1,Hydrolase
DNAH17,Hydrolase
DNAH11,Hydrolase
ATP6V1H,Hydrolase
PLA2G4B,Hydrolase
PLA2G4E,Hydrolase
PLA2G4F,Hydrolase
PLA2G4D,Hydrolase
PLA2G4A,Hydrolase
PLA2G4C,Hydrolase
JMJD7-PLA2G4B,Hydrolase
ABHD2,Hydrolase
ABHD15,Hydrolase
ABHD3,Hydrolase
ABHD1,Hydrolase
GET3,Hydrolase
MTMR6,Hydrolase
MTMR7,Hydrolase
MTMR8,Hydrolase
MTMR12,Hydrolase
MTMR10,Hydrolase
SBF2,Hydrolase
MTMR1,Hydrolase
MTMR2,Hydrolase
SBF1,Hydrolase
MTMR11,Hydrolase
MTMR9,Hydrolase
MTMR4,Hydrolase
MTMR3,Hydrolase
MTM1,Hydrolase
PTER,Hydrolase
CDC25A,Hydrolase
CDC25B,Hydrolase
CDC25C,Hydrolase
RAD1,Hydrolase
MOV10,Hydrolase
ZGRF1,Hydrolase
ZNFX1,Hydrolase
HELZ,Hydrolase
SETX,Hydrolase
UPF1,Hydrolase
MOV10L1,Hydrolase
HELZ2,Hydrolase
AQR,Hydrolase
RGN,Hydrolase
ADAR,Hydrolase
ADARB1,Hydrolase
ADARB2,Hydrolase
ADAD1,Hydrolase
ADAD2,Hydrolase
BST1,Hydrolase
CD38,Hydrolase
GFPT1,Hydrolase
GFPT2,Hydrolase
LMLN,Hydrolase
RNASEH2A,Hydrolase
LIPJ,Hydrolase
LIPM,Hydrolase
LIPF,Hydrolase
LIPN,Hydrolase
LIPA,Hydrolase
LIPK,Hydrolase
PRSS16,Hydrolase
DPP7,Hydrolase
PRCP,Hydrolase
ATP6V0D2,Hydrolase
ATP6V0D1,Hydrolase
NDRG1,Hydrolase
NDRG3,Hydrolase
NDRG2,Hydrolase
NDRG4,Hydrolase
ACOT11,Hydrolase
ACOT7,Hydrolase
ACOT12,Hydrolase
PGLS,Hydrolase
ACOT8,Hydrolase
ITPA,Hydrolase
EXO1,Hydrolase
GEN1,Hydrolase
FEN1,Hydrolase
SIRT2,Hydrolase
SIRT3,Hydrolase
SIRT1,Hydrolase
DCTD,Hydrolase
CDADC1,Hydrolase
EXOSC8,Hydrolase
EXOSC7,Hydrolase
EXOSC9,Hydrolase
GCH1,Hydrolase
AMDHD2,Hydrolase
INPP5J,Hydrolase
INPP5B,Hydrolase
OCRL,Hydrolase
INPP5K,Hydrolase
SYNJ1,Hydrolase
SYNJ2,Hydrolase
LOC100506422,Hydrolase
DUT,Hydrolase
PPT1,Hydrolase
DOLPP1,Hydrolase
PPT2,Hydrolase
PNPT1,Hydrolase
GDA,Hydrolase
ERCC3,Hydrolase
GNPDA1,Hydrolase
GNPDA2,Hydrolase
GGH,Hydrolase
AMPD1,Hydrolase
AMPD2,Hydrolase
AMPD3,Hydrolase
OPLAH,Hydrolase
CPS1,Hydrolase
CAD,Hydrolase
ADA,Hydrolase
ADAL,Hydrolase
ADA2,Hydrolase
LCAT,Hydrolase
PLA2G15,Hydrolase
ALAD,Hydrolase
ENPEP,Hydrolase
LVRN,Hydrolase
ANPEP,Hydrolase
TRHDE,Hydrolase
LNPEP,Hydrolase
ERAP1,Hydrolase
ERAP2,Hydrolase
NPEPPS,Hydrolase
RAG1,Hydrolase
CTPS1,Hydrolase
CTPS2,Hydrolase
FBP1,Hydrolase
FBP2,Hydrolase
HMBS,Hydrolase
DNM1L,Hydrolase
DNM1,Hydrolase
DNM2,Hydrolase
DNM3,Hydrolase
MX1,Hydrolase
MX2,Hydrolase
OPA1,Hydrolase
ACP6,Hydrolase
PXYLP1,Hydrolase
ACP4,Hydrolase
ACP2,Hydrolase
FRA10AC1,Hydrolase
ACP3,Hydrolase
NT5E,Hydrolase
ALPI,Hydrolase
ALPL,Hydrolase
ALPP,Hydrolase
ALPG,Hydrolase
PNLIPRP3,Hydrolase
LIPI,Hydrolase
PNLIPRP1,Hydrolase
PLA1A,Hydrolase
PNLIP,Hydrolase
LIPH,Hydrolase
LIPG,Hydrolase
LIPC,Hydrolase
LPL,Hydrolase
PNLIPRP2,Hydrolase
MGLL,Hydrolase
TCIRG1,Hydrolase
ATP6V0A2,Hydrolase
ATP6V0A4,Hydrolase
ATP6V0A1,Hydrolase
MCM7,Hydrolase
MCM2,Hydrolase
MCM8,Hydrolase
MCM9,Hydrolase
MCM4,Hydrolase
MCM3,Hydrolase
MCM6,Hydrolase
MCMDC2,Hydrolase
CDA,Hydrolase
DPYSL4,Hydrolase
CRMP1,Hydrolase
DPYS,Hydrolase
DPYSL2,Hydrolase
DPYSL3,Hydrolase
DPYSL5,Hydrolase
PPP1CC,Hydrolase
PPP1CA,Hydrolase
PPP1CB,Hydrolase
GGT1,Hydrolase
GGT7,Hydrolase
GGT5,Hydrolase
ATIC,Hydrolase
ATP5F1C,Hydrolase
CPO,Hydrolase
CPA1,Hydrolase
CPA2,Hydrolase
CPA3,Hydrolase
CPB1,Hydrolase
CPB2,Hydrolase
CPA4,Hydrolase
CPA6,Hydrolase
CPA5,Hydrolase
PLA2G2D,Hydrolase
PLA2G2E,Hydrolase
PLA2G1B,Hydrolase
PLA2G2A,Hydrolase
PLA2G5,Hydrolase
PLA2G2F,Hydrolase
OC90,Hydrolase
PLA2G10,Hydrolase
DPP9,Hydrolase
DPP4,Hydrolase
FAP,Hydrolase
DPP6,Hydrolase
DPP10,Hydrolase
