ADRB1,HTT
ADRB1,HUWE1
ADRB1,HYAL2
ADSS,CPE
ADSS,CPEB1
ADSS,CPN1
ADSS,CPN2
ADSS2,ISYNA1
ADSS2,ITCH
ADSS2,RFPL3
AEN,SAP30L
AFAP1,AFDN
AFAP1,AFDN-DT
AFAP1,AFF1
AFDN,AFAP1
AFDN,AFDN-DT
AFDN,AFF1
AFDN-DT,AFAP1
AFDN-DT,AFDN
AFDN-DT,AFF1
AFF1,AFAP1
AFF1,AFDN
AFF1,AFDN-DT
AFF2,SPINT1
AFF3,AFF4
AFF3,ALAS1
AFF3,GCC2
AFF4,AFF3
AFF4,ALAS1
AFM,ASPM
AFM,TBC1D22A
AFP,ACAN
AFP,ACAP1
AFP,AFTPH
AFTPH,ACAN
AFTPH,ACAP1
AFTPH,AFP
AGA,AGAP1
AGA,AGAP2
AGA,AGRN
AGAP1,AGA
AGAP1,AGRN
AGAP2,AGA
AGBL3,AGBL5
AGBL5,AGBL3
AGFG1,CERS2
AGGF1,ARFIP2
AGGF1,ARFRP1
AGK,AGL
AGK,AGMAT
AGK,AGO1
AGK,PKMYT1
AGK,PKN1
AGL,AGK
AGL,AGMAT
AGL,AGO1
AGL,PKMYT1
AGL,PKN1
AGMAT,AGK
AGMAT,AGL
AGMAT,AGO1
AGMAT,PKMYT1
AGMAT,PKN1
AGO1,AGK
AGO1,AGL
AGO1,AGMAT
AGO1,PKMYT1
AGO1,PKN1
AGO2,AGO3
AGO3,AGO2
AGO4,AGPAT1
AGO4,AGPAT2
AGPAT1,AGO4
AGPAT1,AGPAT2
AGPAT2,AGO4
AGPAT2,AGPAT1
AGRN,AGA
AGRN,AGAP1
AGRP,ACKR2
AGRP,AGT
AGRP,API5
AGRP,BDKRB1
AGRP,BDKRB2
AGRP,GPR150
AGRP,GPR20
AGRP,GPR31
AGRP,S100A10
AGT,ACKR2
AGT,AGRP
AGT,API5
AGT,BDKRB1
AGT,BDKRB2
AGT,GPR150
AGT,GPR20
AGT,GPR31
AGT,S100A10
AGTR2,AGXT
AGTR2,AHCTF1
AGXT,AGTR2
AGXT,AHCTF1
AHCTF1,AGTR2
AHCTF1,AGXT
AHCYL2,PSG4
AHDC1,PSG4
AHI1,AHNAK
AHNAK,AHI1
AHR,FEZ1
AHSA1,APOA5
AHSA1,APOB
AHSA1,APOBEC1
AHSA1,APOBEC2
AHSA1,APOBEC3A
AHSA1,APOBEC3B
AHSA1,APOBEC3C
AHSA1,APOBEC3F
AIDA,IFIT3
AIDA,MOK
AIDA,QRSL1
AIF1,YIPF3
AIM2,AIMP1
AIMP1,AIM2
AIPL1,AK2
AIPL1,CMTM6
AJAP1,AK1
