gene1,gene2
ABCB11,PPFIA3
ABCB11,RAD54L2
ABCB11,RBM10
ABCB11,SBNO2
ABCB11,SLC5A2
ABCB11,SOX9
ABCB11,SS18L1
ABCB11,SYNE1
ABCB11,TCF7L2
ABCB11,THOP1
ABCB11,TP53
ABCB11,TRAF2
ABCB11,TUT1
ABCB11,USP49
ABCB11,ZMYM3
ABCB11,ZNF668
ABCB4,ABCA2
ABCB4,ADAMTS8
ABCB4,MAP2K7
ABCB4,PARVB
ABCB4,RXFP3
ABCB4,SOX9
ABCB4,TP53
ABCB5,ABCA2
ABCB5,CASZ1
ABCB5,CRTC1
ABCB5,EEF1D
ABCB5,GPR50
ABCB5,GRM2
ABCB5,GSPT2
ABCB5,HPS1
ABCB5,IGFALS
ABCB5,KNOP1
ABCB5,MAGEA4
ABCB5,MAP2K7
ABCB5,MAPK4
ABCB5,MVP
ABCB5,MYBBP1A
ABCB5,RXFP3
ABCB5,SKAP1
ABCB5,SLC5A2
ABCB5,SOX9
ABCB5,TP53
ABCB5,TSC2
ABCB5,ZNF786
ABCB6,SOX9
ABCB6,TP53
ABCB7,TP53
ABCB8,BCL11B
ABCB8,CHRNA4
ABCB8,CNTN5
ABCB8,COL6A2
ABCB8,CTNNA2
ABCB8,DIAPH1
ABCB8,EIF4A2
ABCB8,HNRNPDL
ABCB8,INPPL1
ABCB8,LRP1B
ABCB8,MEFV
ABCB8,NRAS
ABCB8,PARVB
ABCB8,POP1
ABCB8,PRKCQ
ABCB8,RPTOR
ABCB8,RRP12
ABCB8,SOX9
ABCB8,SYNE1
ABCB8,TP53
ABCB8,TSC2
ABCB8,ZNF862
ABCB9,AFF3
ABCB9,ANK1
ABCB9,APLP1
ABCB9,CACNA2D3
ABCB9,CASR
ABCB9,CDH8
ABCB9,CNNM1
ABCB9,COLEC12
ABCB9,CYP11B1
ABCB9,FGA
ABCB9,GABRB3
ABCB9,GP2
ABCB9,GRIK3
ABCB9,IGSF1
ABCB9,INSR
ABCB9,KIF17
ABCB9,LRP1B
ABCB9,MAP2
ABCB9,MAST2
ABCB9,MKRN3
ABCB9,MTUS2
ABCB9,MUSK
ABCB9,NCAM2
ABCB9,NRAS
ABCB9,PCDH12
ABCB9,PCDHB12
ABCB9,PTH2R
ABCB9,PTPN21
ABCB9,RYR2
ABCB9,SFSWAP
ABCB9,SIGLEC1
ABCB9,SUPT6H
ABCB9,TP53
ABCB9,WWC2
ABCB9,ZBTB40
ABCB9,ZMYM2
ABCB9,ZNF107
ABCC1,LLGL2
ABCC1,MAB21L2
ABCC1,MTR
ABCC1,PADI1
ABCC1,RYR2
ABCC1,SLC7A1
ABCC1,SOX9
ABCC1,SYNE1
ABCC1,TPP1
ABCC1,TTLL12
ABCC10,CCDC40
ABCC10,EPHB1
ABCC10,SOX9
ABCC10,SSH1
ABCC10,TP53
ABCC10,ZBTB40
ABCC2,RGS11
ABCC3,ARC
ABCC3,BTBD7
ABCC3,CD209
ABCC3,CHRNA1
ABCC3,CRTAC1
ABCC3,FXR2
ABCC3,GPR12
ABCC3,GPR50
ABCC3,GRIK3
ABCC3,HAO1
ABCC3,HTR5A
ABCC3,IGF1R
ABCC3,KLHL22
ABCC3,MEF2C
ABCC3,NRAS
ABCC3,PARVB
ABCC3,PCBP1
ABCC3,PILRB
ABCC3,POU6F2
ABCC3,SATB1
ABCC3,SLC5A2
ABCC3,SOX9
ABCC3,SPATA20
ABCC3,TGM2
ABCC3,TP53
ABCC3,TRPC7
ABCC3,USH1C
ABCC3,ZNF16
ABCC3,ZNF337
ABCC3,ZNF484
ABCC4,ABCA2
ABCC4,NADK
ABCC4,SOX9
ABCC5,ARHGAP17
ABCC5,CADM1
ABCC5,CRTAC1
ABCC5,CTNNB1
ABCC5,EPHB1
ABCC5,ESRRB
ABCC5,GPT
ABCC5,GRIK3
ABCC5,GRK5
ABCC5,HECW1
ABCC5,HIST1H2BK
ABCC5,ITIH3
ABCC5,KCNB2
ABCC5,KIF1A
ABCC5,LRRN3
ABCC5,MAGEC1
ABCC5,MAP3K4
ABCC5,MED16
ABCC5,MGAT3
ABCC5,NHLH2
ABCC5,NPAP1
ABCC5,NRAS
ABCC5,PCBP3
ABCC5,PCDH17
ABCC5,PDE4A
ABCC5,PML
ABCC5,RBP3
ABCC5,RIMBP2
ABCC5,SEZ6L2
ABCC5,SLC6A13
ABCC5,SOX9
ABCC5,SPAG16
ABCC5,TOX2
ABCC5,TP53
ABCC5,TSPYL5
ABCC5,USP21
ABCC5,WASF3
ABCC6,ABCA2
ABCC6,SOX9
ABCC8,GOLGA3
ABCC9,ABCA2
ABCC9,APLP1
ABCC9,CCNL2
ABCC9,EFNB3
ABCC9,FGF23
ABCC9,GRK5
ABCC9,POF1B
ABCC9,PORCN
ABCC9,SOX9
ABCC9,TENM1
ABCC9,THOP1
ABCD1,GRM7
ABCD1,GYS2
ABCD1,L3MBTL1
ABCD1,MAGI2
ABCD1,MYBPC3
ABCD1,NRAS
ABCD1,PAPOLB
ABCD1,PCDH15
ABCD1,PNLDC1
ABCD1,PRDM9
ABCD1,SLC6A1
ABCD1,SOX9
ABCD1,SYNE1
ABCD1,TP53
ABCD2,ABCA2
ABCD2,CAPN9
ABCD2,CEP170B
ABCD2,EPHB2
ABCD2,EPS8L1
ABCD2,JAG2
ABCD2,KHSRP
ABCD2,LRP5
ABCD2,RBM10
ABCD2,SETD1A
ABCD2,SOX9
ABCD2,SPTB
ABCD2,TP53
ABCD2,TSC2
ABCD3,LAMA1
ABCD3,SRCAP
ABCD3,TP53
ABCD4,AXIN2
ABCD4,CLIP2
ABCD4,CNTLN
ABCD4,CNTN5
ABCD4,COLEC12
ABCD4,DHX38
ABCD4,E4F1
ABCD4,ENPEP
ABCD4,EPHB1
ABCD4,INHBA
ABCD4,LRIG1
ABCD4,NAP1L3
ABCD4,NELL2
ABCD4,NRAS
ABCD4,PCDH15
ABCD4,RBM10
ABCD4,SMG6
ABCD4,SNAP91
ABCD4,SOX9
ABCD4,THSD7A
ABCD4,TNNI3K
ABCD4,TP53
ABCD4,UNC13B
ABCD4,UPF1
ABCD4,ZFR
ABCE1,ACVR1B
ABCE1,AKAP12
ABCE1,AKAP6
ABCE1,ANKRD11
ABCE1,BCORL1
ABCE1,CACNA1B
ABCE1,CD209
ABCE1,CHD1
ABCE1,CSF2RA
ABCE1,DCT
ABCE1,DLGAP2
ABCE1,DOCK1
ABCE1,DYNC1H1
ABCE1,DYNC2H1
ABCE1,EPHB1
ABCE1,FBXL7
ABCE1,GRIK5
ABCE1,HECW1
ABCE1,INPP5F
ABCE1,INSRR
ABCE1,KCNQ2
ABCE1,KIAA0100
ABCE1,MKRN3
ABCE1,NRAS
ABCE1,OPCML
ABCE1,PCDH11X
ABCE1,PIK3CA
ABCE1,RRBP1
ABCE1,SCN1A
ABCE1,SMAD4
ABCE1,SMARCA4
ABCE1,SOX9
ABCE1,TECTA
ABCE1,TNS1
ABCE1,TP53
ABCE1,ZNF385D
ABCF1,ABCA8
ABCF1,ANKHD1
ABCF1,BIRC6
ABCF1,CACNA2D3
ABCF1,CD163
ABCF1,CDH18
ABCF1,CHRM2
ABCF1,CNTN5
ABCF1,CR1
ABCF1,CRB1
ABCF1,DIP2C
ABCF1,DMBT1
ABCF1,DNAH3
ABCF1,DOCK2
ABCF1,DPYD
ABCF1,F8
ABCF1,FBN2
ABCF1,FLG
ABCF1,GOLGB1
ABCF1,IL1RAPL2
ABCF1,MAGEC3
ABCF1,MAP2
ABCF1,MARK1
ABCF1,MED12
ABCF1,MYLK
ABCF1,MYO7A
ABCF1,NBAS
ABCF1,NFASC
ABCF1,NID2
ABCF1,NRAS
ABCF1,OPCML
ABCF1,PCDH17
ABCF1,PCDH7
ABCF1,PCDH9
ABCF1,PCDHB12
ABCF1,PEG3
ABCF1,PIK3CA
ABCF1,PIK3R1
ABCF1,PLXNB3
ABCF1,PLXNC1
ABCF1,PRDM9
ABCF1,RASGRF1
ABCF1,RIMS2
ABCF1,ROS1
ABCF1,RYR2
ABCF1,SALL1
ABCF1,SCN11A
ABCF1,SOX9
ABCF1,STAB2
ABCF1,STAG1
ABCF1,TNN
ABCF1,TNNI3K
ABCF1,TRPM2
ABCF1,TRPS1
ABCF1,ZFHX4
ABCF1,ZNF658
ABCF2,SOX9
ABCF3,CDH1
ABCF3,DIAPH3
ABCF3,LAMC3
ABCF3,LARP4B
ABCF3,MTTP
ABCF3,NRAS
ABCF3,PAPOLG
ABCF3,RYR2
ABCF3,SNRNP200
ABCF3,SNTG2
ABCF3,SOX9
ABCF3,TGIF1
ABCF3,TP53
ABCF3,TTK
ABCF3,TUBGCP5
ABCF3,ZMYM3
ABCF3,ZNF423
ABCG1,CARD11
ABCG1,FASN
ABCG1,HCFC1
ABCG1,LAMA5
ABCG1,MUC2
ABCG1,MUC5B
ABCG1,NRAS
ABCG1,PLXNB2
ABCG1,RXFP3
ABCG1,SMARCA4
ABCG1,SOX9
ABCG1,SPTB
ABCG1,TP53
ABCG2,AGPAT4
ABCG2,CCDC57
ABCG2,CDC25B
ABCG2,CDK14
ABCG2,CHRNA4
ABCG2,COL8A1
ABCG2,DAGLA
ABCG2,EIF4A2
ABCG2,ELK3
ABCG2,FBXW7
ABCG2,GLUD2
ABCG2,GPR50
ABCG2,HPS1
ABCG2,IGF1R
ABCG2,KCNV1
ABCG2,KLHL22
ABCG2,NPR1
ABCG2,NRAS
ABCG2,NUAK1
ABCG2,PIK3CA
ABCG2,SMAD4
ABCG2,SOX9
ABCG2,SPATA20
ABCG2,TCF7L2
ABCG2,TP53
ABCG2,TSC2
ABCG2,ZFP36L2
ABCG4,ARHGEF11
ABCG4,CPT1A
ABCG4,EPPK1
ABCG4,INSRR
ABCG4,PCDHA5
ABCG4,PTPRN2
ABCG4,SMAD4
ABCG4,SMC2
ABCG4,SOX9
ABCG4,SZT2
ABCG4,TBX3
ABCG4,TP53
ABCG5,BRAF
ABCG5,CDH4
ABCG5,GALNT14
ABCG5,MYH14
ABCG5,MYH9
ABCG5,NEFM
ABCG5,NRAS
ABCG5,PIK3CA
ABCG5,PLXNB3
ABCG5,PTPRS
ABCG5,PTPRT
ABCG5,SLC44A4
ABCG5,SMAD4
ABCG5,TP53
ABCG5,WSCD2
ABCG8,CAMTA1
ABCG8,CAPN9
ABCG8,CRTC1
ABCG8,CTNNA2
ABCG8,FBXW7
ABCG8,GAK
ABCG8,GMEB2
ABCG8,GRIA4
ABCG8,GRM2
ABCG8,HAS1
ABCG8,HIP1R
ABCG8,HSPG2
ABCG8,MTMR4
ABCG8,MUC2
ABCG8,MYH14
ABCG8,NFATC2
ABCG8,NRAS
ABCG8,NTM
ABCG8,PC
ABCG8,PCDHA2
ABCG8,PIK3CA
ABCG8,PLEC
ABCG8,PLXNA2
ABCG8,PNLDC1
ABCG8,PPP2R2B
ABCG8,PUM2
ABCG8,RASA3
ABCG8,RYR2
ABCG8,SBNO2
ABCG8,SLC6A1
ABCG8,SMAD4
ABCG8,SOX9
ABCG8,TCF7L2
ABCG8,TET3
ABCG8,TFAP2B
ABCG8,TP53
ABCG8,TRAPPC10
ABCG8,WDR13
ABCG8,WDR62
ABCG8,WSCD2
ABCG8,ZBTB20
ABHD10,TP53
ABHD11,MUC16
ABHD11,TTN
ABHD14A,TP53
ABHD17A,TP53
ABHD17B,MUC5B
ABHD17B,TP53
ABHD2,ABCC6
ABHD2,APLP1
ABHD2,HTR1A
ABHD2,MST1R
ABHD2,PITPNM1
ABHD2,PLCB3
ABHD2,POU3F4
ABHD2,PPL
ABHD2,PYGB
ABHD2,SLC4A2
ABHD2,TP53
ABHD2,ULK1
ABHD2,VWA7
ABHD4,FCGBP
ABHD4,GLI3
ABHD4,LAMA1
ABHD4,LRP1
ABHD4,PCDH17
ABHD4,RNF43
ABHD4,SOX11
ABHD4,SRCAP
ABHD4,TP53
ABHD5,CACNA1H
ABHD5,LRP1
ABHD5,PLEC
ABHD5,RNF43
ABHD5,SOX9
ABHD8,COL6A3
ABHD8,DNAH3
ABHD8,MXRA5
ABHD8,PCDH11X
ABHD8,PCDH17
ABHD8,RIMS1
ABHD8,RIMS2
ABHD8,TENM3
ABHD8,TRPS1
ABHD8,VCAN
ABI1,SOX9
ABI2,ATP10A
ABI2,CAD
ABI2,COL6A2
ABI2,NFASC
ABI2,PCDH7
ABI2,PIK3CA
ABI2,PLXNB1
ABI2,SOX9
ABI2,SYNE2
ABI2,TCF7L2
ABI2,TP53
ABI2,ZBED4
ABI3BP,AATK
ABI3BP,ACADL
ABI3BP,AFF2
ABI3BP,ANKRD11
ABI3BP,AP3D1
ABI3BP,APBB2
ABI3BP,ARHGEF38
ABI3BP,ASTN2
ABI3BP,ATP13A2
ABI3BP,BASP1
ABI3BP,BCORL1
ABI3BP,BRAF
ABI3BP,BRINP1
ABI3BP,C4BPA
ABI3BP,C8B
ABI3BP,CARD10
ABI3BP,CBS
ABI3BP,CBX6
ABI3BP,CCNA2
ABI3BP,CCNL2
ABI3BP,CEP170B
ABI3BP,CHRNG
ABI3BP,CLIP2
ABI3BP,CLSTN3
ABI3BP,CNN2
ABI3BP,COL3A1
ABI3BP,CPT1A
ABI3BP,CSPG5
