gene1,gene2
ASH2L,CTSF
ASH2L,CYBRD1
ASH2L,DIPK1A
ASH2L,DLG4
ASH2L,DNAJC6
ASH2L,DPF1
ASH2L,DRAM1
ASH2L,DTX3
ASH2L,DUSP10
ASH2L,DYRK3
ASH2L,DZIP1
ASH2L,EGFL7
ASH2L,EHD3
ASH2L,ELOVL5
ASH2L,EPDR1
ASH2L,ERO1B
ASH2L,ETNK2
ASH2L,EVC
ASH2L,EXOC6B
ASH2L,FADS2
ASH2L,FAM169A
ASH2L,FAM171A1
ASH2L,FAM234B
ASH2L,FBLN1
ASH2L,FBXL2
ASH2L,FERMT2
ASH2L,FGD1
ASH2L,FGFR1
ASH2L,FHOD3
ASH2L,FKBP1B
ASH2L,FOXD1
ASH2L,FSCN1
ASH2L,FSTL1
ASH2L,FUZ
ASH2L,FZD1
ASH2L,FZD2
ASH2L,GABBR1
ASH2L,GALC
ASH2L,GAMT
ASH2L,GAS6
ASH2L,GDAP1
ASH2L,GDF11
ASH2L,GJC1
ASH2L,GPR161
ASH2L,GPSM1
ASH2L,GSDME
ASH2L,GSTM2
ASH2L,GSTM3
ASH2L,GSTM4
ASH2L,HDAC9
ASH2L,HDGFL3
ASH2L,HEG1
ASH2L,HLTF
ASH2L,HOMER2
ASH2L,HSD17B6
ASH2L,ID3
ASH2L,IFI16
ASH2L,IGFBP3
ASH2L,IL27RA
ASH2L,ITGA5
ASH2L,ITPR1
ASH2L,JAK2
ASH2L,JAZF1
ASH2L,KAT2B
ASH2L,KCNN4
ASH2L,KDM4D
ASH2L,KLF7
ASH2L,KLF9
ASH2L,LHFPL6
ASH2L,LIMD2
ASH2L,LOXL2
ASH2L,LRP3
ASH2L,LRP4
ASH2L,LYN
ASH2L,LYRM9
ASH2L,LYST
ASH2L,MAGEH1
ASH2L,MAP1B
ASH2L,MAP9
ASH2L,MAPK11
ASH2L,MBOAT2
ASH2L,MDFIC
ASH2L,MICB
ASH2L,MPDZ
ASH2L,MPP1
ASH2L,MPP2
ASH2L,MR1
ASH2L,MVB12B
ASH2L,MXRA7
ASH2L,MYBL1
ASH2L,MYO5A
ASH2L,NAT1
ASH2L,NAV2
ASH2L,NBEA
ASH2L,NFATC1
ASH2L,NINL
ASH2L,NR3C1
ASH2L,NRP2
ASH2L,NT5M
ASH2L,OBSL1
ASH2L,OGFRL1
ASH2L,OSMR
ASH2L,OXCT1
ASH2L,P2RX5
ASH2L,PARVB
ASH2L,PCDHGC3
ASH2L,PDK3
ASH2L,PEG10
ASH2L,PGBD1
ASH2L,PIK3CD
ASH2L,PKIG
ASH2L,PLAU
ASH2L,PLEKHO1
ASH2L,PSMB9
ASH2L,PSTPIP2
ASH2L,PTPRG
ASH2L,PTPRS
ASH2L,PTPRU
ASH2L,PXK
ASH2L,QKI
ASH2L,RAB31
ASH2L,RAB3IL1
ASH2L,RASSF8
ASH2L,RECK
ASH2L,RGS20
ASH2L,RGS9
ASH2L,RIN3
ASH2L,ROBO1
ASH2L,RPL39L
ASH2L,RTL8C
ASH2L,RUSC2
ASH2L,S1PR2
ASH2L,SATB2
ASH2L,SCD5
ASH2L,SDC3
ASH2L,SEMA4F
ASH2L,SEMA7A
ASH2L,SEPTIN6
ASH2L,SGCE
ASH2L,SH3BP5
ASH2L,SIRT4
ASH2L,SIX1
ASH2L,SLC12A5
ASH2L,SLC30A4
ASH2L,SLC4A3
ASH2L,SLC6A9
ASH2L,SLCO3A1
ASH2L,SMO
ASH2L,SNRPN
ASH2L,SNTA1
ASH2L,SNX10
ASH2L,SOAT1
ASH2L,SOCS2
ASH2L,SOCS3
ASH2L,SOGA1
ASH2L,SPART
ASH2L,SPHK1
ASH2L,STARD13
ASH2L,STC2
ASH2L,STOM
ASH2L,SYDE1
ASH2L,SYNGR1
ASH2L,SYNM
ASH2L,TBKBP1
ASH2L,TCEA2
ASH2L,TIAM1
ASH2L,TMEM45A
ASH2L,TNFAIP3
ASH2L,TPST1
ASH2L,TRMT12
ASH2L,TRPC1
ASH2L,TTC28
ASH2L,TUSC3
ASH2L,UBE2L6
ASH2L,WHRN
ASH2L,WIPF1
ASH2L,WNT3
ASH2L,WWC3
ASH2L,WWTR1
ASH2L,ZBTB10
ASH2L,ZCCHC24
ASH2L,ZFP30
ASH2L,ZFP37
ASH2L,ZNF134
ASH2L,ZNF287
ASH2L,ZNF304
ASH2L,ZNF345
ASH2L,ZNF362
ASH2L,ZNF462
ASH2L,ZNF512B
ASH2L,ZNF528
ASH2L,ZNF529
ASH2L,ZNF549
ASH2L,ZNF583
ASH2L,ZNF606
ASH2L,ZNF654
ASH2L,ZNF658
ASH2L,ZXDB
ASPM,AASS
ASPM,ABCA3
ASPM,ADA
ASPM,ADCY7
ASPM,ADCY9
ASPM,ADGRL1
ASPM,AHNAK2
ASPM,AKT3
ASPM,ANKRD6
ASPM,ANTXR1
ASPM,APBB1
ASPM,APOBEC3C
ASPM,APOBEC3F
ASPM,ARAP3
ASPM,ARHGEF10
ASPM,ARL4C
ASPM,ARSB
ASPM,ATP10D
ASPM,ATP8B2
ASPM,B3GALNT1
ASPM,BASP1
ASPM,BCAT1
ASPM,BEX3
ASPM,BHLHB9
